iter	Passed	Remaining
0	132	132398
1	133	66836
2	134	44840
3	136	33881
4	137	27294
5	138	22895
6	139	19774
7	140	17406
8	145	15969
9	146	14456
10	146	13211
11	148	12203
12	149	11326
13	150	10580
14	151	9949
15	152	9400
16	153	8900
17	154	8451
18	156	8054
19	158	7742
20	159	7439
21	161	7163
22	167	7094
23	168	6854
24	169	6624
25	173	6480
26	173	6269
27	174	6074
28	176	5899
29	177	5729
30	180	5639
31	181	5489
32	182	5347
33	183	5218
34	185	5109
35	187	5007
36	188	4907
37	189	4803
38	190	4702
39	191	4605
40	194	4552
41	195	4462
42	196	4379
43	197	4299
44	199	4231
45	200	4158
46	201	4086
47	202	4017
48	203	3952
49	204	3894
50	205	3832
51	206	3773
52	208	3719
53	209	3664
54	210	3611
55	211	3561
56	213	3532
57	215	3493
58	216	3453
59	217	3414
60	219	3373
61	220	3336
62	221	3295
63	222	3256
64	223	3217
65	224	3180
66	225	3144
67	228	3131
68	229	3098
69	230	3064
70	231	3030
71	232	2999
72	234	2972
73	235	2942
74	236	2914
75	237	2884
76	238	2856
77	239	2829
78	240	2802
79	243	2803
80	244	2778
81	245	2753
82	246	2723
83	247	2700
84	248	2677
85	249	2656
86	251	2634
87	252	2612
88	253	2591
89	254	2571
90	255	2550
91	258	2551
92	260	2536
93	261	2518
94	263	2510
95	264	2491
96	265	2472
97	266	2454
98	267	2435
99	268	2417
100	270	2405
101	273	2404
102	274	2388
103	276	2383
104	277	2368
105	278	2351
106	279	2336
107	281	2321
108	282	2305
109	283	2291
110	284	2280
111	285	2266
112	288	2265
113	289	2250
114	290	2236
115	291	2223
116	292	2208
117	293	2195
118	294	2182
119	295	2168
120	296	2156
121	297	2142
122	298	2131
123	300	2119
124	301	2108
125	302	2100
126	303	2087
127	304	2076
128	305	2065
129	306	2054
130	307	2042
131	308	2031
132	310	2021
133	311	2012
134	312	2002
135	313	1992
136	314	1982
137	317	1982
138	318	1973
139	319	1963
140	320	1953
141	321	1941
142	322	1931
143	323	1923
144	324	1915
145	325	1906
146	327	1897
147	328	1888
148	331	1893
149	332	1885
150	333	1876
151	334	1868
152	335	1859
153	337	1854
